quote	author
Life, as I see it, is not a location, but a journey. Life flows.	Henry Ford
I don’t expect to retire. Every man must work, that’s his natural destiny.	Henry Ford
Only one thing makes prosperity, and that is work.	Henry Ford
Worry is the most wasteful thing in the world.	Henry Ford
Anyone who does anything useful will not go unpaid.	Henry Ford
I don’t read history. That’s in the past. I’m thinking of the future.	Henry Ford
If you find out what men want and give them that, you are pleasing them. If you find out what is good for them and give them that, you are performing a service. That’s what we are trying to do.	Henry Ford
Every business is a monarchy with, not a man, but an idea as king.	Henry Ford
The best way to make money in business is not to think too much about making it.	Henry Ford
In the long run people are going to buy the cheapest and the best article no matter where it is made.	Henry Ford
The best way is always the simplest.  The attics of the world are cluttered up with complicated failures.	Henry Ford
Money will ruin the life of any man who treats it like anything but a tool with which to work.	Henry Ford
Three rules for a career: 1) Don’t sell anything you wouldn’t buy yourself; 2) Don’t work for anyone you don’t respect and admire; and 3) Work only with people you enjoy.	Charlie Munger
You don’t have to be brilliant, only a little bit wiser than the other guys, on average, for a long, long time.	Charlie Munger
Spend less than you make; always be saving something. Put it into a tax-deferred account. Over time, it will begin to amount to something. This is such a no-brainer.	Charlie Munger
Choose clients as you would friends.	Charlie Munger
Life in part is like a poker game, wherein you have to learn to quit sometimes when holding a much loved hand.	Charlie Munger
There ‘s no way that you can live an adequate life without [making] many mistakes.	Charlie Munger
Everybody engaged in complex work needs colleagues. Just the discipline of having to put your thoughts in order with somebody else is a very useful thing.	Charlie Munger
Avoid working directly under somebody you don’t admire and don’t want to be like.	Charlie Munger
The safest way to try to get what you want is to try to deserve what you want. It’s such a simple idea. It’s the golden rule. You want to deliver to the world what you would buy if you were on the other end.	Charlie Munger
Spend each day trying to be a little wiser than you were when you woke up.	Charlie Munger
Someone will always be getting richer faster than you. This is not a tragedy.	Charlie Munger
Intelligent people make decisions based on opportunity costs.	Charlie Munger
Remember that reputation and integrity are your most valuable assets – and can be lost in a heartbeat.	Charlie Munger
Recognize reality even when you don’t like it – especially when you don’t like it.	Charlie Munger
Above all, never fool yourself, and remember that you are the easiest person to fool.	Charlie Munger
Acknowledging what you don’t know is the dawning of wisdom.	Charlie Munger
Develop into a lifelong self-learner through voracious reading; cultivate curiosity and strive to become a little wiser every day.	Charlie Munger
And the wise ones bet heavily when the world offers them that opportunity. They bet big when they have the odds. And the rest of the time they don’t. It’s just that simple.	Charlie Munger
In my whole life, I have known no wise people (over a broad subject matter area) who didn’t read all the time – none, zero.	Charlie Munger
Acquire worldly wisdom and adjust your behavior accordingly. If your new behavior gives you a little temporary unpopularity with your peer group then to hell with them.	Charlie Munger
The best thing a human being can do is to help another human being know more.	Charlie Munger
At the beginning I looked around, but I could not find the car I was dreaming of. So I decided to build it myself.	Ferdinand Porsche
Successful disruptors are people who are capable of an active imagination. They begin reimagining their world by reframing the problem in a way no one had framed it before.	Malcolm Gladwell
If you want to go quickly, go alone — but if you want to go far, you must go together.	African proverb
If you don’t plan your time, someone else will help you waste it.	Zig Ziglar
You can get everything in life you want if you will just help enough other people get what they want.	Zig Ziglar
Always remember that your present situation is not your final destination. The best is yet to come.	Zig Ziglar
Do it, and then you will feel motivated to do it.	Zig Ziglar
Repetition is the mother of learning, the father of action, which makes it the architect of accomplishment.	Zig Ziglar
Success occurs when opportunity meets preparation.	Zig Ziglar
Everybody says they want to be free. Take the train off the tracks and it’s free-but it can’t go anywhere.	Zig Ziglar
If you learn from defeat, you haven’t really lost.	Zig Ziglar
What you get by achieving your goals is not as important as what you become by achieving your goals.	Zig Ziglar
Outstanding people have one thing in common: an absolute sense of mission.	Zig Ziglar
The greatest of all mistakes is to do nothing because you think you can only do a little.	Zig Ziglar
Success is the doing, not the getting; in the trying, not the triumph. Success is a personal standard, reaching for the highest that is in us, becoming all that we can be. If we do our best, we are a success.	Zig Ziglar
You were born to win, but to be a winner you must plan to win, prepare to win, and expect to win.	Zig Ziglar
You don’t have to be great to start, but you have to start to be great.	Zig Ziglar
Lack of direction, not lack of time, is the problem. We all have twenty-four hour days.	Zig Ziglar
People do not wander around and then find themselves at the top of Mount Everest.	Zig Ziglar
Change yourself – you are in control.	Mahatma Gandhi
Without action, you aren’t going anywhere.	Mahatma Gandhi
Be the change that you wish to see in the world.	Mahatma Gandhi
To believe in something, and not to live it, is dishonest.	Mahatma Gandhi
The future depends on what you do today.	Mahatma Gandhi
The thing is, it’s very easy to be different, but very difficult to be better.	Jonathan Ive
So what makes me happy? I was really happy to build this house. That’s it; building things. The trouble with software is that it’s very hard to show your aunt in Florida what you’ve done.	Larry Ellison
I love sailing. I like it more when I am winning.	Larry Ellison
I think about the business all the time. Well I shouldn’t say all the time. I don’t think about it when I am wakeboarding. But even when I am on vacation, or on my boat; I am on email everyday. I am always prowling around the internet looking at what our competitors are doing.	Larry Ellison
The only way to get ahead is to find errors in conventional wisdom.	Larry Ellison
You have to act and act now.	Larry Ellison
Being first is more important to me. I have so much money. Whatever money is, it’s just a method of keeping score now. I mean, I certainly don’t need more money.	Larry Ellison
Building Oracle is like doing math puzzles as a kid.	Larry Ellison
Software is all about scale. The larger you are, the more profitable you are. If we sell twice as much as software, it doesn’t cost us twice as much to build that software. So the more customers you have, the more scale you have. The larger you are, the more profitable you are.	Larry Ellison
All you can do is every day, try to solve a problem and make your company better.	Larry Ellison
The most important aspect of my personality, as far as determining my success goes, has been my questioning conventional wisdom, doubting the experts and questioning authority.	Larry Ellison
If your cash is about to run out you have to cut your cash flow.	Larry Ellison
A corporation’s primary goal is to make money. Government’s primary role is to take a big chunk of that money and give it to others.	Larry Ellison
I have had all of the disadvantages required for success.	Larry Ellison
When you innovate, you’ve got to be prepared for everyone telling you you’re nuts.	Larry Ellison
Winning is a habit. Unfortunately, so is losing. Sure, there’s the talent, but there also has to be the will. Give me human will and the intense desire to win and it will trump talent every day of the week.	Larry Ellison
We are here to win. Winning, that’s my idea of fun.	Larry Ellison
Great achievers are driven, not so much by the pursuit of success, but by the fear of failure.	Larry Ellison
The computer industry is the only industry that is more fashion-driven than women’s fashion.	Larry Ellison
When I started Oracle, what I wanted to do was to create an environment where I would enjoy working. That was my primary goal. Sure, I wanted to make a living. I certainly never expected to become rich, certainly not this rich. I mean, rich does not even describe this. This is surreal.	Larry Ellison
I enjoy the competition and the process of learning as we compete. The whole thing is just fascinating. I don’t know what I’ll do when I retire. When I go sailing, I look around … anyone want to race? I just love competing as opposed to just going out and watching the sunset.	Larry Ellison
A relationship is like a shark, it either has to move forward or it dies. And that’s true about your company.	Larry Ellison
With the right mentor, don’t be afraid to expose your vulnerabilities. Admit you don’t know what you don’t know. When you acknowledge your weaknesses and ask for advice, you’ll be surprised how much others will help.	Howard Schultz
Work should be personal. For all of us. Not just for the artist and entrepreneur. Work should have meaning for the accountant, the construction worker, the technologist, the manager and the clerk.	Howard Schultz
If you examine a butterfly according to the laws of aerodynamics, it shouldn’t be able to fly. But the butterfly doesn’t know that, so it flies.	Howard Schultz
My passion. My commitment. This is the most important thing in my life other than my family.	Howard Schultz
Remember: You’ll be left with an empty feeling if you hit the finish line alone. When you run a race as a team, though, you’ll discover that much of the reward comes from hitting the tape together. You want to be surrounded not just by cheering onlookers but by a crowd of winners, celebrating as one.	Howard Schultz
One of the fundamental aspects of leadership, I realized more and more, is the ability to instill confidence in others when you yourself are feeling insecure.	Howard Schultz
We have no patent on anything we do and anything we do can be copied by anyone else. But you can’t copy the heart and the soul and the conscience of the company.	Howard Schultz
In times of adversity and change, we really discover who we are and what we’re made of.	Howard Schultz
Whatever you do, don’t play it safe. Don’t do things the way they’ve always been done. Don’t try to fit the system. If you do what’s expected of you, you’ll never accomplish more than others expect.	Howard Schultz
At a certain stage in a company’s development, an entrepreneur has to develop into a professional manager. That often goes against the grain.	Howard Schultz
Treat people like family, and they will be loyal and give their all. Stand by people, and they will stand by you.	Howard Schultz
Whatever your culture, your values, your guiding principles, you have to take steps to inculcate them in the organization early in its life so that they can guide every decision, every hire, every strategic objective you set.	Howard Schultz
But when you really believe—in yourself, in your dream—you just have to do everything you possibly can to take control and make your vision a reality. No great achievement happens by luck.	Howard Schultz
Growth should not be — and is not — a strategy; it’s a tactic.	Howard Schultz
I think the leader today has to demonstrate both transparency and vulnerability, and with that comes truthfulness and humility and obviously the ability to instill confidence in people, and not through some top-down hierarchical approach.	Howard Schultz
If you want to build a great enterprise, you have to have the courage to dream great dreams. If you dream small dreams, you may succeed in building something small. For many people, that is enough. But if you want to achieve widespread impact and lasting value, be bold.	Howard Schultz
For all the promise of digital media to bring people together, I still believe that the most sincere, lasting powers of human connection come from looking directly into someone else’s eyes, with no screen in between.	Howard Schultz
I believe life is a series of near misses. A lot of what we ascribe to luck is not luck at all. It’s seizing the day and accepting responsibility for your future. It’s seeing what other people don’t see and pursuing that vision.	Howard Schultz
Early on I realized that I had to hire people smarter and more qualified than I was in a number of different fields, and I had to let go of a lot of decision-making. I can’t tell you how hard that is. But if you’ve imprinted your values on the people around you, you can dare to trust them to make the right moves.	Howard Schultz
In this ever-changing society, the most powerful and enduring brands are built from the heart. They are real and sustainable. Their foundations are stronger because they are built with the strength of the human spirit, not an ad campaign. The companies that are lasting are those that are authentic.	Howard Schultz
You can design and create, and build the most wonderful place in the world. But it takes people to make the dream a reality.	Walt Disney
Start before you’re ready. Good things happen when we start before we’re ready.	Steven Pressfield
Don’t think. Act.	Steven Pressfield
Don’t Prepare. Begin.	Steven Pressfield
The sign of the amateur is overglorification of and preoccupation with the mystery. The professional shuts up. She doesn’t talk about it. She does her work.	Steven Pressfield
The professional has learned that success, like happiness, comes as a by-product of work. The professional concentrates on the work and allows rewards to come or not come, whatever they like.	Steven Pressfield
Of any activity you do, ask yourself: If I were the last person on earth, would I still do it?	Steven Pressfield
It’s better to be in the arena, getting stomped by the bull, than to be up in the stands or out in the parking lot.	Steven Pressfield
This is the other secret that real artists know and wannabe writers don’t. When we sit down each day and do our work, power concentrates around us. The Muse takes note of our dedication. She approves. We have earned favor in her sight. When we sit down and work, we become like a magnetized rod that attracts iron filings. Ideas come. Insights accrete.	Steven Pressfield
The most important thing about art is to work. Nothing else matters except sitting down every day and trying.	Steven Pressfield
We must do our work for its own sake, not for fortune or attention or applause.	Steven Pressfield
Are you paralyzed with fear? That’s a good sign. Fear is good. Like self-doubt, fear is an indicator. Fear tells us what we have to do. Remember one rule of thumb: the more scared we are of a work or calling, the more sure we can be that we have to do it.	Steven Pressfield
How wonderful it is that nobody need wait a single moment before starting to improve the world.	Anne Frank
Question everything generally thought to be obvious.	Dieter Rams
I hate everything that is driven by fashion. From the beginning it was hating the sixties American way of styling. Especially the cars. They changed their styling every two years to sell new ones. Which has nothing to do with good design.	Dieter Rams
Design should not dominate things, should not dominate people. It should help people. That’s its role.	Dieter Rams
All too much of the man-made is ugly, inefficient, depressing chaos.	Dieter Rams
One of the most significant design principles is to omit the unimportant in order to emphasize the important.	Dieter Rams
Don’t worry about people stealing your ideas. If your ideas are any good, you’ll have to ram them down people’s throats.	Howard H. Aiken
Good design is finding a solution to a problem. Great design is finding the simplest solution to the same problem.	Nicholas Peterson
If you have the courage to begin, you have the courage to succeed.	David Viscott
The purpose of life is to discover your gift. The meaning of life is to give it away.	David Viscott
Try not to work for stupid people or you’ll soon become one of them.	John Jay
The truth is much less comforting: Each company is completely distinct and there is no playbook.	Sarah Lacy
Data beats emotions.	Sean Rad
Our overnight success took 1000 days.	Brian Chesky
“Build it and they will come,” is not a strategy; it’s a prayer.	Steve Blank
There are no facts inside the building so get the hell outside.	Steve Blank
You don’t have to be the smartest person, but showing up is 80% of the game.	Steve Blank
In a startup no facts exist inside the building, only opinions.	Steve Blank
Success is predicated on too many factors for one methodology to guarantee that any single startup will be a winner. But on the basis of what I’ve seen at hundreds of startups, at programs that teach lean principles, and at established companies that practice them, I can make a more important claim: Using lean methods across a portfolio of startups will result in fewer failures than using traditional methods.	Steve Blank
After you’ve raised money, shut up, put your slides away, stop selling, and start listening to your customers.	Steve Blank
Disruption on the first day always looks like a toy…	Steve Blank
Building a successful business model isn’t about changing your company based on every bit of feedback: It’s about understanding whom to listen to and why.	Steve Blank
Don’t confuse “raising money” with “building a sustainable business.” In a perfect world, you would never need investors and would fund the company from customer revenue. But to achieve scale, startups need risk capital. Raise as much money as you can after you have tangible evidence you have product/market fit, not before.	Steve Blank
At the end of the day, you can decide whether you want to be an employee with a great attendance record, getting promoted to ever better titles and working on interesting projects – or whether you want to attempt to do something spectacular – this be or do should be a question you never stop asking yourself — for the next 20 years, and beyond.	Steve Blank
Startups are painful, stressful and at times demoralizing. You need to be a true believer in the vision of what you are doing. You need to be passionate about it and love what you’re doing	Steve Blank
I was worth about over a million dollars when I was 23 and over ten million dollars when I was 24, and over a hundred million dollars when I was 25 and… it wasn’t that important — because I never did it for the money.	Steve Jobs
To turn really interesting ideas and fledgling technologies into a company that can continue to innovate for years, it requires a lot of disciplines.	Steve Jobs
It’s not a faith in technology. It’s faith in people.	Steve Jobs
Our goal is to make the best devices in the world, not to be the biggest.	Steve Jobs
Design is a funny word. Some people think design means how it looks. But of course, if you dig deeper, it’s really how it works.	Steve Jobs
Technology is nothing. What’s important is that you have a faith in people, that they’re basically good and smart, and if you give them tools, they’ll do wonderful things with them.	Steve Jobs
My favorite things in life don’t cost any money. It’s really clear that the most precious resource we all have is time.	Steve Jobs
It’s really hard to design products by focus groups. A lot of times, people don’t know what they want until you show it to them.	Steve Jobs
I think we’re having fun. I think our customers really like our products. And we’re always trying to do better.	Steve Jobs
It’s better to be a pirate than to join the navy.	Steve Jobs
Every good product I’ve ever seen is because a group of people cared deeply about making something wonderful that they and their friends wanted. They wanted to use it themselves.	Steve Jobs
The hardest thing when you think about focusing. You think focusing is about saying “Yes.” No. Focusing is about saying “No.” And when you say “No,” you piss off people.	Steve Jobs
If you don’t cannibalize yourself, someone else will.	Steve Jobs
I love it when you can bring really great design and simple capability to something that doesn’t cost much.	Steve Jobs
I hate it when people call themselves “entrepreneurs” when what they’re really trying to do is launch a startup and then sell or go public, so they can cash in and move on.	Steve Jobs
People don’t know what they want until you show it to them.	Steve Jobs
My job is to say when something sucks rather than sugarcoat it.	Steve Jobs
If you want to live your life in a creative way, as an artist, you have to not look back too much. You have to be willing to take whatever you’ve done and whoever you were and throw them away.	Steve Jobs
My model for business is The Beatles. They were four guys who kept each other’s kind of negative tendencies in check. They balanced each other and the total was greater than the sum of the parts. That’s how I see business: great things in business are never done by one person, they’re done by a team of people.	Steve Jobs
Sometimes when you innovate, you make mistakes. It is best to admit them quickly, and get on with improving your other innovations.	Steve Jobs
Innovation distinguishes between a leader and a follower.	Steve Jobs
Quality is much better than quantity. One home run is much better than two doubles	Steve Jobs
Stay hungry. Stay foolish.	Steve Jobs
Creativity is just connecting things. When you ask creative people how they did something, they feel a little guilty because they didn’t really do it, they just saw something. It seemed obvious to them after a while.	Steve Jobs
Let’s go invent tomorrow instead of worrying about what happened yesterday.	Steve Jobs
If you really look closely, most overnight successes took a long time.	Steve Jobs
But innovation comes from people meeting up in the hallways or calling each other at 10:30 at night with a new idea, or because they realized something that shoots holes in how we’ve been thinking about a problem.	Steve Jobs
We’re here to put a dent in the universe. Otherwise why else even be here?	Steve Jobs
Deciding what not to do is as important as deciding what to do.	Steve Jobs
Your time is limited, so don’t waste it living someone else’s life. Don’t be trapped by dogma — which is living with the results of other people’s thinking. Don’t let the noise of others’ opinions drown out your own inner voice. And most important, have the courage to follow your heart and intuition. They somehow already know what you truly want to become. Everything else is secondary	Steve Jobs
If you keep your eye on the profit, you’re going to skimp on the product. But if you focus on making really great products, then the profits will follow.	Steve Jobs
Sometimes life is going to hit you in the head with a brick. Don’t lose faith.	Steve Jobs
If you don’t love something, you’re not going to go the extra mile, work the extra weekend, challenge the status quo as much.	Steve Jobs
That’s been one of my mantras — focus and simplicity. Simple can be harder than complex. You have to work hard to get your thinking clean to make it simple. But it’s worth it in the end because once you get there, you can move mountains.	Steve Jobs
Details matter, it’s worth waiting to get it right.	Steve Jobs
You can’t connect the dots looking forward; you can only connect them looking backwards. So you have to trust that the dots will somehow connect in your future. You have to trust in something – your gut, destiny, life, karma, whatever. This approach has never let me down, and it has made all the difference in my life.	Steve Jobs
Things don’t have to change the world to be important.	Steve Jobs
Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose. You are already naked. There is no reason not to follow your heart.	Steve Jobs
Whenever I meet a successful CEO, I ask them how they did it. Mediocre CEOs point to their brilliant strategic moves or their intuitive business sense or a variety of other self-congratulatory explanations. The great CEOs tend to be remarkably consistent in their answers. They all say: “I didn’t quit.”	Ben Horowitz
When things go wrong in your company, nobody cares. The press doesn’t care, your investors don’t care, your board doesn’t care, your employees don’t care, even your mama doesn’t care. Nobody cares… Just run your company.	Ben Horowitz
Focus on the road not the wall.	Ben Horowitz
Tip to aspiring entrepreneurs: if you don’t like choosing between horrible and cataclysmic, don’t become CEO.	Ben Horowitz
The only thing that prepares you to run a company is running a company.	Ben Horowitz
Generally, someone doesn’t become CEOs unless she has a high sense of purpose and cares deeply about the work she does. In addition, a CEO must be accomplished enough or smart enough that people will want to work for her.	Ben Horowitz
I will tell you how to become rich. Close the doors. Be fearful when others are greedy. Be greedy when others are fearful.	Warren Buffett
Intensity is the price of excellence.	Warren Buffett
Go for a business that any idiot can run – because sooner or later, any idiot probably is going to run it.	Peter Lynch
When I’m working on a problem, I never think about beauty. I think only how to solve the problem.	Buckminster Fuller
If you want to conquer fear, don’t sit home and think about it. Go out and get busy.	Dale Carnegie
At the end of the day you still have to make something people want. You have find a way to produce it. You have to find a way to distribute it.	Travis Kalanick
When something’s fun, it’s obvious: That’s when you just need to do more of it.	Travis Kalanick
In a lot of ways, it’s not the money that allows you to do new things. It’s the growth and the ability to find things that people want and to use your creativity to target those.	Travis Kalanick
As an entrepreneur, I try to push the limits. Pedal to the metal.	Travis Kalanick
My politics are: I’m a trustbuster. Very focused. And yeah, I’m pro-efficiency. I want the most economic activity at the lowest price possible. It’s good for everybody; it’s not red or blue.	Travis Kalanick
The question isn’t who is going to let me; it’s who is going to stop me.	Ayn Rand
Few things can help an individual more than to place responsibility on him, and to let him know that you trust him.	Booker T. Washington
You may be disappointed if you fail, but you are doomed if you don’t try.	Beverly Sills
It does not matter how slowly you go as long as you do not stop.	Confucius
You can’t use up creativity. The more you use, the more you have.	Maya Angelou
What’s money? A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do.	Bob Dylan
Two roads diverged in a wood, and I, I took the one less traveled by, and that has made all the difference.	Robert Frost
Everything you’ve ever wanted is on the other side of fear.	George Addair
Do what you can, where you are, with what you have.	Teddy Roosevelt
There is only one way to avoid criticism: Do nothing, say nothing, and be nothing.	Aristotle
I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.	Maya Angelou
I am not a product of my circumstances. I am a product of my decisions.	Stephen Covey
Rarely have I seen a situation where doing less than the other guy is a good strategy.	Jimmy Spithill
If you want to lift yourself up, lift up someone else.	Booker T. Washington
Challenges are what make life interesting and overcoming them is what makes life meaningful.	Joshua Marine
You can’t fall if you don’t climb. But there’s no joy in living your whole life on the ground.	Unknown
When everything seems to be going against you, remember that the airplane takes off against the wind, not with it.	Henry Ford
Eighty percent of success is showing up.	Woody Allen
Life is what happens to you while you’re busy making other plans.	John Lennon
The most common way people give up their power is by thinking they don’t have any.	Alice Walker
Twenty years from now, you will be more disappointed by the things that you didn’t do than by the ones you did do, so throw off the bowlines, sail away from safe harbor, catch the trade winds in your sails. Explore, Dream, Discover.	Mark Twain
The most difficult thing is the decision to act, the rest is merely tenacity.	Amelia Earhart
I attribute my success to this: I never gave or took any excuse.	Florence Nightingale
Find a job you love and you’ll never work a day in your life.	Confucius
Teachers open the door. You enter by yourself.	Chinese Proverb
Make happy those who are near, and those who are far will come.	Chinese Proverb
If you pay peanuts, you get monkeys.	Chinese Proverb
Failing to plan is planning to fail.	Chinese Proverb
Don’t stand by the water and long for fish; go home and weave a net.	Chinese Proverb
All cats love fish but fear to wet their paws.	Chinese Proverb
A person who says it cannot be done should not interrupt the man doing it.	Chinese Proverb
Building a castle is difficult. Defending and maintaining it is harder still.	Asian Proverb
A journey of a thousand miles begins with a single step.	Lao Tzu
The diamond cannot be polished without friction, nor the man perfected without trials.	Chinese Proverb
Defeat isn’t bitter if you don’t swallow it.	Chinese Proverb
A bad workman blames his tools.	Chinese Proverb
Sow a thought, reap an action; sow an action, reap a habit; sow a habit, reap a character; sow a character, reap a destiny.	Chinese Proverb
Vision without action is a daydream. Action without vision is a nightmare.	Japanese Proverb
The best time to plant a tree is twenty years ago. The second best time is now.	Chinese Proverb
You must either modify your dreams or magnify your skills.	Jim Rohn
I wasn’t satisfied just to earn a good living. I was looking to make a statement.	Donald Trump
If you start with nothing and end up with nothing, there’s nothing lost.	Michael Dunlop
Everything started as nothing.	Ben Weissenstein
One can get anything if he is willing to help enough others get what they want.	Zig Ziglar
If you’re not making mistakes, then you’re not making decisions.	Catherine Cook
I never perfected an invention that I did not think about in terms of the service it might give others… I find out what the world needs, then I proceed to invent.	Thomas Edison
You’ve got to stop doing all the things that people have tried, tested, and found out don’t work.	Michael Dunlop
In preparing for battle I have always found that plans are useless, but planning is indispensable.	Dwight D. Eisenhower
The secret of getting ahead is getting started.	Agatha Christie
I treat business a bit like a computer game. I count money as points. I’m doing really well: making lots of money and lots of points.	Michael Dunlop
After a certain point, money is meaningless. It ceases to be the goal. The game is what counts.	Aristotle
A business that makes nothing but money is a poor business.	Henry Ford
The greatest reward in becoming a millionaire is not the amount of money that you earn. It is the kind of person that you have to become to become a millionaire in the first place.	Jim Rohn
Formal education will make you a living. Self education will make you a fortune.	Jim Rohn
By working faithfully eight hours a day you may eventually get to be boss and work twelve hours a day.	Robert Frost
One day your life will flash before your eyes. Make sure it is worth watching.	Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do.	Mark Twain
It’s easier to ask forgiveness than it is to get permission.	Grace Hopper
Do not wait to strike until the iron is hot; but make it hot by striking.”	William B. Sprague
I’m not a businessman. I’m a business, man.	Jay-Z
You miss 100% of the shots you don’t take.	Wayne Gretzky
If one does not know to which port one is sailing, no wind is favorable.	Lucius Annaeus Seneca
We are what we repeatedly do. Excellence, then, is not an act, but a habit.	Aristotle
The whole problem with the world is that fools and fanatics are always so certain of themselves, but wiser people so full of doubts.	Bertrand Russell
I am more afraid of an army of one hundred sheep led by a lion than an army of one hundred lions led by a sheep.	Charles Maurice
The difference between a boss and a leader: a boss says, ‘Go!’ -a leader says, ‘Let’s go!’.	E. M. Kelly
Leadership is the art of getting someone else to do something you want done because he wants to do it.	Dwight D. Eisenhower
Leadership is doing what is right when no one is watching.	George Van Valkenburg
Example is not the main thing in influencing other people; it’s the only thing.	Abraham Lincoln
Leaders don’t force people to follow, they invite them on a journey.	Charles S. Lauer
There’s so much to learn about business and how it works, its impacts and potential, so it’s a fascinating field to study. I see entrepreneurship as the most exciting career path. It’s limitless – financially, intellectually, and socially.	Emil Motycka
I honestly think it is better to be a failure at something you love than to be a success at something you hate.	George Burns
The biggest failure you can have in life is not trying at all.	Emil Motycka
I have not failed. I’ve just found 10,000 ways that won’t work.	Thomas Edison
Failure defeats losers, failure inspires winners.	Robert T. Kiyosaki
Most great people have attained their greatest success just one step beyond their greatest failure.	Napoleon Hill
Anything the mind can conceive and believe, it can achieve.	Napoleon Hill
The road to success is always under construction.	Arnold Palmer
If hard work is the key to success, most people would rather pick the lock.	Claude McDonald
To be successful, you have to have your heart in your business, and your business in your heart.	Thomas J. Watson
Whenever an individual or a business decides that success has been attained, progress stops.	Thomas J. Watson
Every single person I know who is successful at what they do is successful because they love doing it.	Joe Penna
The only place where success comes before work is in the dictionary.	Vidal Sassoon
There are two rules for success: 1) Never tell everything you know.	Roger H. Lincoln
A certain amount of opposition is a great help to a man. Kites rise against, not with the wind.	John Neal
Success is how high you bounce when you hit bottom.	George S. Patton
Entrepreneurs are selected to be just doers, not thinkers, and doers do, they don’t talk.	Nicholas Nassim Taleb
He who begins many things finishes but few	Proverb
You need to ask yourself, ‘Where do you want to work: startups, mid-size or large companies?’ …If you find yourself debating the ‘startup versus large company’ choice you’ve already chosen the big company. Entrepreneurship isn’t a career choice it’s a passion and obsession.	Steve Blank
Revolutions are not obvious when they happen. When James Watt started the industrial revolution with the steam engine in 1775 no one said, ‘Today, everything changes.’ When Karl Benz drove around Mannheim in 1885, no one said, ‘There will be 500 million of these driving around in a century.’ And certainly in 1958 when Noyce and Kilby invented the integrated circuit, the idea of a quintillion (10 to the 18th power) transistors being produced each year seemed ludicrous.	Steve Blank
If the opportunity is so large, and the barriers to starting up so low, why haven’t the number of scalable startups exploded exponentially? What’s holding us back? While it’s easier than ever to draw an idea on the back of the napkin, build a prototype or create a small business on the side, it’s still hard to quit your day job and commit ‘all in.’	Steve Blank
